timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T01:09:47.927+00:00,4445,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.15,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T01:09:48.034+00:00,4594,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.91,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.61
2026-06-05T01:09:48.135+00:00,4695,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-17.66,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,53.4,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,2.48
2026-06-05T01:09:48.195+00:00,4794,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.66,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T01:09:48.294+00:00,4893,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.15,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-4.95
2026-06-05T01:09:48.446+00:00,5044,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.56,1.443,427.2,173.16,-18.4,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,0,0,0,0,0,8.0,0.0,64.51,26.15,90.65,0.0,-1.66
2026-06-05T01:09:48.561+00:00,5159,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.439,1.375,412.68,165.0,-18.4,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,53.4,0.0,0,0,0,0,0,8.0,0.0,111.97,45.12,157.09,0.0,0.0
2026-06-05T01:09:48.744+00:00,5276,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.442,1.368,413.04,164.16,-17.42,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0,0,0,0,0,8.0,0.0,160.29,64.33,224.62,0.0,8.38
2026-06-05T01:09:48.835+00:00,5393,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.04,0.0,0.0,3.45,1.352,414.0,162.24,-18.15,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,0,0,0,0,0,8.0,0.0,208.73,83.31,292.04,0.0,-6.24
2026-06-05T01:09:48.912+00:00,5510,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.435,1.357,412.2,162.84,-17.66,-10.05,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0,0,0,0,0,0,8.0,0.0,256.96,102.36,359.32,0.0,4.19
