timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T00:48:29.171+00:00,207,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0400,SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:48:29.295+00:00,330,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.95
2026-06-05T00:48:34.164+00:00,5191,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.727,3.015,567.24,361.8,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,652.46,431.63,1084.09,0.0,-1.86
2026-06-05T00:48:34.295+00:00,5320,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.715,2.983,565.8,357.96,53.93,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,725.45,477.81,1203.25,0.0,1.86
2026-06-05T00:48:34.423+00:00,5449,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.708,2.954,564.96,354.48,53.93,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,798.33,523.53,1321.86,0.0,0.0
2026-06-05T00:48:34.553+00:00,5578,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.729,2.948,567.48,353.76,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,871.53,569.17,1440.7,0.0,-1.86
2026-06-05T00:48:34.681+00:00,5707,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.751,2.958,570.12,354.96,54.42,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,945.08,614.96,1560.04,0.0,5.66
2026-06-05T00:48:34.811+00:00,5836,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.774,2.962,572.88,355.44,53.69,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,1018.98,660.81,1679.79,0.0,-5.66
2026-06-05T00:48:34.939+00:00,5965,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.792,2.957,575.04,354.84,53.93,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,1093.16,706.58,1799.75,0.0,1.86
2026-06-05T00:48:35.069+00:00,6094,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.801,2.94,576.12,352.8,53.93,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,1167.48,752.1,1919.58,0.0,0.0
2026-06-05T00:48:35.200+00:00,6223,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.78,2.898,573.6,347.76,53.44,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,1241.48,796.96,2038.43,0.0,-3.8
2026-06-05T00:48:35.328+00:00,6352,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,4.785,2.876,574.2,345.12,53.93,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,1315.55,841.48,2157.02,0.0,3.8
